Tanggal,penjualan aktual,"Hasil Ramalan ES (a=0,1)","Hasil Ramalan ES (a=0,8)"
1/11/2013,258,397.7349679,375.2237884
1/12/2013,350,271.9734968,351.7790307
1/1/2014,340,342.1973497,351.4232246
1/2/2014,310,340.219735,349.1385797
1/3/2014,340,313.0219735,341.3108637
1/4/2014,290,337.3021973,341.048691
1/5/2014,340,294.7302197,330.8389528
1/6/2014,490,335.473022,332.6711622
1/7/2014,298,474.5473022,364.1369298
1/8/2014,305,315.6547302,350.9095438
1/9/2014,400,306.065473,341.7276351
1/10/2014,340,390.6065473,353.382108
1/11/2014,280,345.0606547,350.7056864
1/12/2014,340,286.5060655,336.5645492
1/1/2015,310,334.6506065,337.2516393
1/2/2015,406,312.4650607,331.8013115
1/3/2015,380,396.6465061,346.6410492
1/4/2015,378,381.6646506,353.3128393
1/5/2015,380,378.3664651,358.2502715
1/6/2015,379,379.8366465,362.6002172
1/7/2015,279,379.0836647,365.8801737
1/8/2015,360,289.0083665,348.504139
1/9/2015,355,352.9008366,350.8033112
1/10/2015,358,354.7900837,351.642649
1/11/2015,358,357.6790084,352.9141192
1/12/2015,403,357.9679008,353.9312953
1/1/2016,385,398.4967901,363.7450363
1/2/2016,399,386.349679,367.996029
1/3/2016,258,397.7349679,374.1968232
1/4/2016,350,271.9734968,350.9574586
1/5/2016,340,342.1973497,350.7659669
1/6/2016,310,340.219735,348.6127735
1/7/2016,361,313.0219735,340.8902188
1/8/2016,358,356.2021973,344.912175
1/9/2016,355,357.8202197,347.52974
1/10/2016,390,355.282022,349.023792
1/11/2016,370,386.5282022,357.2190336
1/12/2016,380,371.6528202,359.7752269
1/1/2017,380,379.165282,363.8201815
1/2/2017,378,379.9165282,367.0561452
1/3/2017,380,378.1916528,369.2449162
1/4/2017,425,379.8191653,371.3959329
1/5/2017,340,420.4819165,382.1167463
1/6/2017,371,348.0481917,373.6933971
1/7/2017,380,368.7048192,373.1547177
1/8/2017,299,378.8704819,374.5237741
1/9/2017,370,306.9870482,359.4190193
1/10/2017,352,363.6987048,361.5352154
1/11/2017,340,353.1698705,359.6281724
1/12/2017,360,341.316987,355.7025379
1/1/2018,354,358.1316987,356.5620303
1/2/2018,356,354.4131699,356.0496242
1/3/2018,230,355.841317,356.0396994
1/4/2018,340,242.5841317,330.8317595
1/5/2018,403,330.2584132,332.6654076
1/6/2018,385,395.7258413,346.7323261
1/7/2018,399,386.0725841,354.3858609
1/8/2018,258,397.7072584,363.3086887
1/9/2018,350,271.9707258,342.246951
1/10/2018,340,342.1970726,343.7975608
1/11/2018,310,340.2197073,343.0380486
1/12/2018,361,313.0219707,336.4304389
1/1/2019,358,356.2021971,341.3443511
1/2/2019,380,357.8202197,344.6754809
1/3/2019,299,377.782022,351.7403847
1/4/2019,370,306.8782022,341.1923078
1/5/2019,352,363.6878202,346.9538462
1/6/2019,340,353.168782,347.963077
1/7/2019,360,341.3168782,346.3704616
1/8/2019,354,358.1316878,349.0963693
1/9/2019,356,354.4131688,350.0770954
1/10/2019,230,355.8413169,351.2616763
1/11/2019,250,242.5841317,327.0093411
1/12/2019,320,249.2584132,311.6074728
1/1/2020,340,312.9258413,313.2859783
1/2/2020,299,337.2925841,318.6287826
1/3/2020,390,302.8292584,314.7030261
1/4/2020,370,381.2829258,329.7624209
1/5/2020,380,371.1282926,337.8099367
1/6/2020,380,379.1128293,346.2479494
1/7/2020,378,379.9112829,352.9983595
1/8/2020,380,378.1911283,357.9986876
1/9/2020,425,379.8191128,362.3989501
1/10/2020,340,420.4819113,374.9191601
1/11/2020,371,348.0481911,367.935328
1/12/2020,380,368.7048191,368.5482624
1/1/2021,299,378.8704819,370.83861
1/2/2021,370,306.9870482,356.470888
1/3/2021,352,363.6987048,359.1767104
1/4/2021,356,353.1698705,357.7413683
1/5/2021,380,355.716987,357.3930946
1/6/2021,278,377.5716987,361.9144757
1/7/2021,340,287.9571699,345.1315806
1/8/2021,425,334.795717,344.1052645
1/9/2021,340,415.9795717,360.2842116
1/10/2021,371,347.5979572,356.2273693
1/11/2021,380,368.6597957,359.1818954
1/12/2021,299,378.8659796,363.3455163
1/1/2022,370,306.986598,350.4764131
